type,name,label::English (en),hint::English (en),required,appearance,constraint_message,relevant,constraint,body::accept,guidance_hint
decimal,NcLower_pop2,"If available, which is the LOWER limit of the Nc confidence interval for population 2?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop2} != '',(. = -999 or . > 0) and . < ${NcPoint_pop2},,
decimal,NcUpper_pop2,"If available, which is the UPPER limit of the Nc confidence interval for population 2?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop2} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop2}),,
text,SourceNc_pop2,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop2} != 'unknown',,,
text,Comments_pop2,Any additional comments or notes regarding the information that has been provided or why it could not be for population 2?,,false,,,${n_extant_populations} >= 2,,,
end_group,,,,,,,,,,
begin_group,pop3,Population 3,,false,,,(${kobo_tabular} = 'kobo' and ${kobo_tabular} != 'tabular') or ${kobo_tabular} = '' and ${n_extant_populations} >= 3,,,
text,Name_pop3,Population 3 name,"If a name has not been assigned to this population in literature, please provide your own unique name here.",true,,,${n_extant_populations} >= 3,,,
select_one vw6md17,Origin_pop3,What is the origin of population 3?,"You can provide details in the comments section for this population, if needed.",false,,,${n_extant_populations} >= 3,,,
text,IntroductionYear_pop3,"When was the population introduced, translocated, re-introduced or re-inforced?",,false,,,${Origin_pop3} = 'introduced' or ${Origin_pop3} = 'reintroduced' or ${Origin_pop3} = 'supplemented',,,
decimal,Ne_pop3,What is the effective population size (Ne) for population 3? (POINT ESTIMATE),"If you have a confidence interval include it in next questions. If Ne is not known for this population, type -999",true,,"the Ne can't be negative, and only -999 is accepted if the Ne is not avilable (NA)",${ne_pops_exists} = 'ne_available',. = -999 or . > 0,,
decimal,NeLower_pop3,"If available, which is the lower limit of the Ne confidence interval for population 3?","If not available, type -999",false,,Ne lower bound can't be negative and has to be lower than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop3} != -999 and ${Ne_pop3} != '',(. = -999  or . > 0) and . <= ${Ne_pop3},,
decimal,NeUpper_pop3,"If available, which is the upper limit of the Ne confidence interval for population 3?","If not available, type -999. If infinite, type 999 999 999",false,,Ne upper bound can't be negative and has to be larger than Ne. Only -999 is accepted if this value is unknown (NA),${Ne_pop3} != -999 and ${Ne_pop3} != '',(. = -999 or . > 0) and (. = -999 or . >= ${Ne_pop3} ),,"If the Ne estimate is infinity please use ""999,999,999"" (make sure you use 9 times the number 9)."
text,NeYear_pop3,In what year was the data used to estimate Ne collected for population 3?,"Please state the year when the sampling was done, not when it was published.",true,,,${Ne_pop3} != -999 and ${Ne_pop3} != '',,,
select_one dp0ro30,GeneticMarkers_pop3,What genetic markers were used to estimate Ne for THIS population?,,true,,,${Ne_pop3} != -999 and ${Ne_pop3} != '',,,
text,GeneticMarkersOther_pop3,"If 'Other', please explain.",,false,,,${GeneticMarkers_pop3} = 'other',,,
select_one ry7lu40,MethodNe_pop3,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop3} != -999 and ${Ne_pop3} != '',,,
text,SourceNe_pop3,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop3} != -999 and ${Ne_pop3} != '',,,
select_one tw2mv60,transboundary_pop3,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 3 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop3,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop3} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop3,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop3} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop3,Is census population size (Nc) available as a range or point estimate?,,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop3,In what year was the Nc estimated for population 3?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop3} != 'unknown',,,
select_one ed5dt93,NcMethod_pop3,How was Nc calculated in THIS population?,,true,,,${nc_pops_exists} = 'yes' and ${NcType_pop3} != 'unknown',,,
select_one gn04r19,NcRange_pop3,Whats the range of the Nc for population 3?,,true,,,${NcType_pop3} = 'Nc_range',,,
text,NcRangeDetails_pop3,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop3} != '' or ${NcType_pop3} = 'Nc_range',,,
integer,NcPoint_pop3,"If known, what is the census population size (Nc) for population 3? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop3} = 'Nc_point',. = -999 or . > 0,,
decimal,NcLower_pop3,"If available, which is the LOWER limit of the Nc confidence interval for population 3?","This should be the lower value of the 95% Confidence Interval. If that is unavailable, leave this question blank and please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the lower Nc limit can't be negative and has to be lower than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop3} != '',(. = -999 or . > 0) and . < ${NcPoint_pop3},,
decimal,NcUpper_pop3,"If available, which is the UPPER limit of the Nc confidence interval for population 3?","This should be the upper value of the 95% Confidence Interval. If that is unavailable, please record the confidence interval used (e.g. 90%) in the 'ANY ADDITIONAL COMMENTS OR NOTES' question at the end of the Section.",false,,the upper Nc limit can't be negative and has to be larger than the Nc. Only -999 is accepted if this value is unknown (NA),${NcPoint_pop3} != '',(. = -999 or. > 0) and (. = -999 or . > ${NcPoint_pop3}),,
text,SourceNc_pop3,"Please list all relevant sources of census size information (literature reference, website link, expert consultation) for THIS population",Please separate sources using a semicolon (;),true,multiline,,${nc_pops_exists} = 'yes' and ${NcType_pop3} != 'unknown',,,
text,Comments_pop3,Any additional comments or notes regarding the information that has been provided or why it could not be for population 3?,,false,,,${n_extant_populations} >= 3,,,
end_group,,,,,,,,,,
